month,created_pull_requests,closed_pull_requests,domain: deps,vrl: stdlib,type: enhancement,domain: ci,type: feature,vrl: typedef,type: tech debt,domain: dev,meta: regression,type: bug,vrl: compiler
2023-03,30,28,0,0,2,0,0,0,2,0,0,0,2
2023-04,22,21,0,1,1,2,0,2,0,0,0,2,0
2023-05,34,34,12,1,1,0,0,0,0,2,0,0,0
2023-06,11,10,8,0,0,0,0,0,0,0,0,0,0
2023-07,56,59,80,6,0,0,6,0,0,0,0,0,0
2023-08,57,57,80,4,0,0,2,0,0,0,0,0,0
2023-09,44,42,60,0,0,8,0,0,0,0,0,0,0
2023-10,46,46,72,0,0,2,0,0,1,0,0,0,0
2023-11,37,38,49,2,4,0,0,0,1,0,0,0,0
2023-12,22,21,22,0,0,0,0,0,0,0,0,2,0
2024-01,19,21,29,0,0,0,0,0,0,0,0,0,0
2024-02,6,6,0,0,0,0,0,0,0,0,0,2,0
2024-03,7,6,0,0,0,0,0,0,0,0,0,0,0
2024-04,1,2,0,0,0,0,0,0,0,0,0,0,0
2024-05,5,4,0,0,0,0,0,0,4,0,0,0,0
2024-06,1,2,0,0,0,0,0,0,0,0,0,0,0
2024-07,2,2,0,0,0,0,0,0,0,0,0,0,0
2024-08,8,7,0,2,2,0,0,0,0,0,0,2,0
2024-09,7,8,0,0,0,0,0,0,0,0,0,0,0
2024-10,3,2,0,1,0,0,0,0,0,0,0,0,0
2024-11,7,6,0,1,0,0,0,0,0,0,0,0,0
2024-12,11,10,0,7,0,0,4,0,0,0,2,0,0
2025-01,6,8,0,3,0,0,0,0,0,0,0,0,0
2025-02,7,8,0,0,0,0,0,0,0,0,0,0,0
2025-03,5,4,0,0,0,0,0,0,0,0,0,0,0
2025-04,4,3,0,0,0,0,0,0,0,0,0,0,0
2025-05,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-06,1,1,0,0,0,0,0,0,0,0,0,0,0
2025-07,3,4,0,2,0,0,0,0,0,0,0,0,0
2025-08,3,2,0,0,0,0,0,0,0,0,0,0,0
2025-09,7,7,0,0,0,0,0,0,0,0,0,0,0
2025-10,6,5,0,2,0,0,0,0,0,0,0,0,0
2025-11,3,4,0,0,0,0,0,0,0,0,0,0,0
2025-12,4,2,0,0,0,0,0,0,0,0,0,0,0
2026-01,6,1,0,0,0,0,0,0,0,0,0,0,0
2026-02,6,5,0,0,0,0,0,0,0,0,0,0,0
2026-03,2,3,0,0,0,0,0,0,0,0,0,0,0
